,year,regenerative medicine,tissue engineering,bone,scaffold,orthodontic,biocompatible,biodegradable,tissue scaffold,scaffold guided,bone graft
31,2007,0.002932551319648094,0.04105571847507331,0.3284457478005865,0.12023460410557185,0.05571847507331378,0.19941348973607037,0.10557184750733138,0.011730205278592375,0.0,0.1348973607038123
32,2008,0.007462686567164179,0.05223880597014925,0.3619402985074627,0.11194029850746269,0.08208955223880597,0.1791044776119403,0.08582089552238806,0.007462686567164179,0.0,0.11194029850746269
33,2009,0.013921113689095127,0.06960556844547564,0.34106728538283065,0.12296983758700696,0.018561484918793503,0.2296983758700696,0.07888631090487239,0.0069605568445475635,0.0,0.11832946635730858
34,2010,0.009790209790209791,0.05034965034965035,0.3356643356643357,0.1258741258741259,0.03636363636363636,0.2153846153846154,0.0993006993006993,0.016783216783216783,0.0,0.11048951048951049
35,2011,0.0056433408577878106,0.05417607223476298,0.34988713318284426,0.1162528216704289,0.024830699774266364,0.23137697516930023,0.10496613995485328,0.010158013544018058,0.0,0.10270880361173815
36,2012,0.010723860589812333,0.05719392314566577,0.34137622877569257,0.12957998212689903,0.025915996425379804,0.21983914209115282,0.0938337801608579,0.01876675603217158,0.0,0.10277033065236818
37,2013,0.014012738853503185,0.062420382165605096,0.31401273885350317,0.12611464968152866,0.02929936305732484,0.2140127388535032,0.09235668789808917,0.027388535031847135,0.0,0.12038216560509554
38,2014,0.014857142857142857,0.06971428571428571,0.316,0.13085714285714287,0.024,0.21085714285714285,0.10285714285714286,0.022857142857142857,0.0,0.108
39,2015,0.019441069258809233,0.07472660996354799,0.30619684082624543,0.13973268529769137,0.02976913730255164,0.201093560145808,0.09416767922235723,0.01761846901579587,0.0006075334143377885,0.1166464155528554
40,2016,0.02536640360766629,0.06820744081172492,0.30496054114994364,0.12965050732807215,0.03494926719278467,0.2080045095828636,0.09301014656144306,0.016910935738444193,0.0,0.1189402480270575
41,2017,0.02181208053691275,0.06543624161073826,0.3087248322147651,0.13534675615212527,0.03859060402684564,0.2058165548098434,0.09563758389261745,0.01901565995525727,0.0005592841163310962,0.10906040268456375
42,2018,0.025776602775941838,0.06609385327164574,0.317911434236616,0.1255783212161269,0.048909451421017845,0.19894249834765368,0.09187045604758758,0.02247191011235955,0.0006609385327164573,0.10178453403833443
43,2019,0.02756892230576441,0.07268170426065163,0.3142857142857143,0.12581453634085213,0.04862155388471178,0.18796992481203006,0.1037593984962406,0.02155388471177945,0.0,0.09774436090225563
44,2020,0.021177685950413222,0.0743801652892562,0.3212809917355372,0.14049586776859505,0.054235537190082644,0.18233471074380164,0.10072314049586777,0.022727272727272728,0.0,0.08264462809917356
45,2021,0.03136882129277566,0.07461977186311787,0.32366920152091255,0.13165399239543726,0.06321292775665399,0.17728136882129278,0.10266159695817491,0.019011406844106463,0.0,0.07652091254752852
