,year,ceramic,metal,polymer,hydrogel,shape memory alloy,rubber,composite,semiconductor,fiber
32,2008,0.174496644295302,0.2348993288590604,0.2181208053691275,0.04697986577181208,0.003355704697986577,0.06375838926174497,0.13087248322147652,0.010067114093959731,0.1174496644295302
33,2009,0.16334661354581673,0.22310756972111553,0.22111553784860558,0.049800796812749,0.01195219123505976,0.05976095617529881,0.12749003984063745,0.00597609561752988,0.13745019920318724
34,2010,0.16350710900473933,0.21445497630331753,0.20260663507109006,0.061611374407582936,0.017772511848341232,0.06753554502369669,0.12559241706161137,0.009478672985781991,0.13744075829383887
35,2011,0.14717348927875243,0.22417153996101363,0.2309941520467836,0.06042884990253411,0.017543859649122806,0.06432748538011696,0.12183235867446393,0.011695906432748537,0.12183235867446393
36,2012,0.1553784860557769,0.2239043824701195,0.22868525896414343,0.06772908366533864,0.020717131474103586,0.05737051792828685,0.11872509960159362,0.00796812749003984,0.11952191235059761
37,2013,0.14823008849557523,0.20575221238938052,0.2140486725663717,0.06803097345132743,0.007190265486725664,0.07190265486725664,0.13606194690265486,0.01327433628318584,0.13550884955752213
38,2014,0.1511627906976744,0.21638018200202225,0.20879676440849343,0.07280080889787664,0.008594539939332659,0.05712841253791709,0.13346814964610718,0.014661274014155713,0.13700707785642063
39,2015,0.1545945945945946,0.20864864864864865,0.21027027027027026,0.06756756756756757,0.01027027027027027,0.06324324324324325,0.13243243243243244,0.00972972972972973,0.14324324324324325
40,2016,0.14196891191709846,0.21761658031088082,0.21295336787564767,0.07357512953367876,0.010880829015544042,0.0689119170984456,0.12797927461139896,0.011398963730569948,0.13471502590673576
41,2017,0.13353413654618473,0.2354417670682731,0.21285140562248997,0.06977911646586345,0.012550200803212851,0.05823293172690763,0.12449799196787148,0.010040160642570281,0.1430722891566265
42,2018,0.145366444579043,0.21623258631132647,0.2204724409448819,0.06904906117504543,0.009691096305269533,0.06662628709872805,0.1241671714112659,0.013325257419745608,0.13506965475469412
43,2019,0.13404825737265416,0.21983914209115282,0.22788203753351208,0.07640750670241286,0.006702412868632708,0.06076854334226988,0.12377122430741734,0.01653261840929401,0.13404825737265416
44,2020,0.13290851160673645,0.23031406463359125,0.23304506144742831,0.07055075102412381,0.0063723258989531175,0.06964041875284478,0.11424670004551661,0.019116977696859355,0.12380518889394629
45,2021,0.11796136457048911,0.2137279079325935,0.22975750102753803,0.07603781339909577,0.008631319358816275,0.06863953966296753,0.12782572955199342,0.02219482120838471,0.13522400328812165
