,year,stress,strain,thermal,piezoelectric,elastic modulus,elasticity,degradation,bioresorption 
22,1998,0.3333333333333333,0.17117117117117117,0.13513513513513514,0.0,0.04504504504504504,0.08108108108108109,0.23423423423423423,0.0
23,1999,0.32558139534883723,0.27906976744186046,0.09302325581395349,0.015503875968992248,0.015503875968992248,0.08527131782945736,0.18604651162790697,0.0
24,2000,0.3120567375886525,0.24113475177304963,0.10638297872340426,0.0070921985815602835,0.02127659574468085,0.09929078014184398,0.20567375886524822,0.0070921985815602835
25,2001,0.27751196172248804,0.18660287081339713,0.17703349282296652,0.019138755980861243,0.014354066985645933,0.11961722488038277,0.19617224880382775,0.009569377990430622
26,2002,0.24434389140271492,0.22171945701357465,0.167420814479638,0.02262443438914027,0.01809954751131222,0.11312217194570136,0.2081447963800905,0.004524886877828055
27,2003,0.26635514018691586,0.2102803738317757,0.17757009345794392,0.04205607476635514,0.018691588785046728,0.09345794392523364,0.18691588785046728,0.004672897196261682
28,2004,0.3090909090909091,0.24242424242424243,0.15757575757575756,0.024242424242424242,0.01818181818181818,0.07272727272727272,0.17575757575757575,0.0
29,2005,0.25654450261780104,0.19895287958115182,0.17277486910994763,0.010471204188481676,0.03664921465968586,0.08900523560209424,0.225130890052356,0.010471204188481676
30,2006,0.26422764227642276,0.22764227642276422,0.16666666666666666,0.02032520325203252,0.028455284552845527,0.11382113821138211,0.17073170731707318,0.008130081300813009
31,2007,0.26857142857142857,0.2342857142857143,0.15428571428571428,0.005714285714285714,0.022857142857142857,0.08,0.21714285714285714,0.017142857142857144
32,2008,0.26900584795321636,0.2222222222222222,0.16374269005847952,0.029239766081871343,0.03508771929824561,0.08771929824561403,0.17543859649122806,0.017543859649122806
33,2009,0.27636363636363637,0.29454545454545455,0.14909090909090908,0.04,0.01090909090909091,0.08,0.12727272727272726,0.02181818181818182
34,2010,0.28361858190709044,0.2469437652811736,0.15892420537897312,0.04645476772616137,0.029339853300733496,0.07334963325183375,0.15647921760391198,0.004889975550122249
35,2011,0.2631578947368421,0.24171539961013644,0.15789473684210525,0.04093567251461988,0.03508771929824561,0.08187134502923976,0.16764132553606237,0.011695906432748537
36,2012,0.2744186046511628,0.23255813953488372,0.15193798449612403,0.034108527131782945,0.023255813953488372,0.11007751937984496,0.15968992248062017,0.013953488372093023
37,2013,0.255157437567861,0.2301845819761129,0.1487513572204126,0.051031487513572206,0.03257328990228013,0.08903365906623235,0.16829533116178066,0.0249728555917481
38,2014,0.2460973370064279,0.2231404958677686,0.16437098255280075,0.04591368227731864,0.03581267217630854,0.09917355371900827,0.16620752984389348,0.01928374655647383
39,2015,0.27565392354124746,0.22132796780684105,0.15090543259557343,0.03722334004024145,0.035211267605633804,0.12072434607645875,0.15090543259557343,0.008048289738430584
40,2016,0.265625,0.21599264705882354,0.15900735294117646,0.03400735294117647,0.03308823529411765,0.12224264705882353,0.16727941176470587,0.0027573529411764708
41,2017,0.2655109489051095,0.22627737226277372,0.16058394160583941,0.03193430656934307,0.030109489051094892,0.10583941605839416,0.17791970802919707,0.0018248175182481751
42,2018,0.25026178010471206,0.24293193717277486,0.13926701570680627,0.03769633507853403,0.04502617801047121,0.1130890052356021,0.16963350785340314,0.0020942408376963353
43,2019,0.26790024135156876,0.22928399034593724,0.1576830249396621,0.035398230088495575,0.03298471440064361,0.09734513274336283,0.17699115044247787,0.002413515687851971
44,2020,0.26448170731707316,0.23704268292682926,0.1524390243902439,0.01753048780487805,0.04420731707317073,0.10823170731707317,0.17301829268292682,0.003048780487804878
45,2021,0.26671261199172985,0.22880771881461062,0.15299793246037216,0.033769813921433495,0.04066161268090972,0.09855272226051,0.17643004824259131,0.002067539627842867
